ID	Name	Address	Telephone	Website	Rating	Coordinate1	Coordinate2	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Photo
1	Au Village	6 Place Notre Dame, 38000 Grenoble, France 	04 76 42 38 40	http://www.au-village.fr/	3.5	45.193054	5.731433	10:30–22:30	10:30–22:30	10:30–22:30	10:30–22:30	10:30–22:30	10:30–22:30	10:30–22:30	1.jpg
2	Auberge Napoléon	7 Rue Montorge, 38000 Grenoble, France	04 76 87 53 64	http://www.auberge-napoleon.fr/	4	45.191296	5.726428	19:30–21:00	19:30–21:00	19:30–21:00	19:30–21:00	19:30–21:00	19:30–21:00	Closed	2.jpg
3	Pasta Cosi	101 Rue Saint-Laurent, 38000 Grenoble, France	04 76 27 58 50	http://www.pasta-cosi.com/	4.5	45.195061	5.728981	19:00-23:00	19:00-23:00	19:00-23:00	19:00-23:00	19:00-23:00	19:00-23:00	19:00-23:00	3.jpg
4	L'Ardoise	2 Rue de Miribel, 38000 Grenoble, France	04 76 27 75 90	http://www.lesideesrestos.fr/restaurants-grenoble/traditionnel-157-L+Ardoise.html	4	45.190509	5.725076	Closed	11:30-23:00	11:30-23:00	11:30-23:00	11:30-23:00	11:30-23:00	Closed	4.jpg
5	Restaurant L'Odace	9 Place de Metz, 38000 Grenoble, France	04 76 03 06 31	http://lodace.fr/	4.5	45.187182	5.730956	12:00-14:00	12:00-22:15	12:00-22:15	12:00-22:15	12:00-22:15	19:30-22:15	Closed	5.jpg
6	Le Jardin D'Asie	17 Rue du Docteur Mazet, 38000 Grenoble, France	04 76 46 19 66	http://www.restaurant-lejardindasie.com/	4	45.190816	5.722488	Closed	11:45-22:30	11:45-22:30	11:45-22:30	11:45-22:30	11:45-22:30	18:00-22:30	6.jpg
7	L'As de Pique	14 Rue du Lieutenant Chanaron 38000 Grenoble, France	04 76 87 32 91	http://www.asdepiquegrenoble.com/	4	45.186514	5.722632	18:00–01:00	12:00–01:00	18:00–01:00	12:00–01:00	12:00–01:00	18:00–01:00	18:00–01:00	7.jpg
8	El Sombrero	3 Rue Vauban 38000 Grenoble, France	04 76 47 33 00	http://www.restaurants-elsombrero.com/	2.5	45.188676	5.723984	12:00–22:30	12:00–22:30	12:00–22:30	12:00–22:30	12:00–22:30	19:00–00:00	19:00–22:30	8.jpg
9	Le Lyonnais	5 Rue de Palanka, 38000 Grenoble, France	04 76 46 46 60	http://www.lesideesrestos.fr/restaurants-grenoble/bouchons-84-Le+Lyonnais.html	3	45.190491	5.724757	12:00-21:45	12:00-21:45	12:00-21:45	12:00-21:45	12:00-21:45	12:00-21:45	Closed	9.jpg
10	Quick	2 Place Victor Hugo, 38000 Grenoble, France	04 76 46 37 27	http://www.quick.fr/	2.5	45.189547	57.24326	10:30–01:00	10:30–01:00	10:30–01:00	10:30–01:00	10:30–01:00	10:30–01:00	10:30–01:00	10.jpg
11	Café de la Table Ronde	7 Place Saint-André, 38000 Grenoble, France	04 76 44 51 41	http://www.restaurant-tableronde-grenoble.com/fr_FR/	3	45.192944	5.728295	09:00–01:00	09:00–01:00	09:00–01:00	09:00–01:00	09:00–01:00	09:00–01:00	09:00–01:00	11.jpg
12	Ciao a Te	2 Rue de la Paix, 38000 Grenoble, France	04 76 42 54 41	http://www.lesideesrestos.fr/restaurants-grenoble/cuisine-du-monde-italien-170-Ciao+a+Te.html	4	45.19125	5.731814	Closed	12:00-20:30	12:00-20:30	12:00-20:30	12:00-20:30	12:00-20:30	Closed	12.jpg
13	McDonald's	4 Rue Félix Poulat, 38000 Grenoble, França	04 76 87 67 56	http://www.mcdonalds.fr/	3	45.190328	5.726171	8:00-00:00	8:00-00:00	8:00-00:00	8:00-00:00	8:00-00:00	8:00-00:00	8:00-00:00	13.jpg
14	Restaurant La Ferme à Dédé	24 Rue Barnave, 38000 Grenoble, France	04 76 54 00 33	http://www.restaurantlafermeadede.com/	3	45.192642	5.729883	10:30-00:00	10:30-00:00	10:30-00:00	10:30-00:00	10:30-00:00	10:30-00:00	10:30-00:00	14.jpg
15	Restaurant L'Exception	4 Cours Jean Jaurès, 38000 Grenoble, France	04 76 47 03 12	http://www.restaurant-lexception.com/	5	45.191553	5.719969	12:00–21:30	12:00–21:30	12:00–21:30	12:00–21:30	12:00–21:30	Closed	Closed	15.jpg
16	Restaurant L'Ile Maurice	39 Rue Humbert II, 38000 Grenoble, France	04 76 87 32 82	http://www.lesideesrestos.fr/restaurants-grenoble/cuisine-du-monde-887-Ile+Maurice.html	4.5	45.184687	5.722351	Closed	19:30-00:00	19:30-00:00	19:30-00:00	19:30-00:00	19:30-00:00	Closed	16.jpg
17	L'insolence	36, Avenue Alsace-Lorraine, 38000 Grenoble, France	09 53 36 54 29	http://www.linternaute.com/restaurant/restaurant/110251/l-insolence.shtml	3	45.189768	5.718703	11:00-20:00	11:00-20:00	11:00-20:00	11:00-23:00	11:00-23:00	Closed	Closed	17.jpg
18	Le Bocal	2 Rue Condorcet, 38000 Grenoble, France	04 76 50 97 57	http://www.lebocalgrenoble.blogspot.fr/	3.5	45.185488	5.722051	Closed	19:30-01:00	19:30-01:00	19:30-01:00	19:30-01:00	19:30-01:00	Closed	18.jpg
19	La Tete à l'Envers	10 rue Chenoise, 38000 Grenoble, France	04 76 51 13 42	http://www.lesideesrestos.fr/restaurants-grenoble/traditionnel-747-La+Tete+a+l+Envers.html	3.5	45.193458	5.73117	Closed	19:30-01:00	19:30-01:00	19:30-01:00	19:30-01:00	19:30-01:00	Closed	19.jpg
20	Le Bombay	60 cours Jean Jaures, 38000 Grenoble, France	04 76 87 71 80	http://www.lesideesrestos.fr/restaurants-grenoble/cuisine-du-monde-indien-167-Le+Bombay.html	3	45.186895	5.718403	Closed	12:00-22:00	12:00-22:00	12:00-22:00	12:00-22:00	12:00-22:00	12:00-22:00	20.jpg
21	BBQ	4 places de Gordes, 38000 Grenoble, France	04 80 38 18 85	http://www.lesideesrestos.fr/restaurants-grenoble/bars-a-vins-1399-BBQ.html	4	45.192218	5.727737	10:00-01:00	10:00-01:00	10:00-01:00	10:00-01:00	10:00-01:00	10:00-01:00	Closed	21.jpg
22	Le Mas Bottero	168 Cours Berriat, 38000 Grenoble, France	04 76 21 95 33	http://www.lemasbottero.com/	4	45.188982	5.705206	Closed	12:00-22:00	12:00-22:00	12:00-22:00	12:00-22:00	12:00-22:00	Closed	22.jpg
23	La Petite Idée	7, Cours Jean Jaures, 38000 Grenoble, France	04 76 47 52 95	http://www.la-petite-idee.fr/	3.5	45.190721	5.720162	Closed	11:30-22:30	11:30-22:30	11:30-22:30	11:30-22:30	11:30-22:30	11:30-22:30	23.jpg
